course_id,parent_course_id,day_num,source,source_url,course_title,course_type,theme_category,num_pois,status
VS_MVP_001,,,Visit Seoul,https://english.visitseoul.net/mvp/SeongsuHotspot-1day/ENN8khsan,Seongsu Hotspot One-Day Course for the MZ Generation,walking,"Modern Seoul,Shopping,Food,Walking,Nature",7,success
VS_MVP_002_DAY1,VS_MVP_002,1.0,Visit Seoul,https://english.visitseoul.net/mvp/family-adventure-3day-2night-temp/ENN2tyvbt,"A 2-Night, 3-Day Adventure Course for Families with Children",walking,"Family,Nature,Culture,Modern Seoul,Shopping",5,success
VS_MVP_002_DAY2,VS_MVP_002,2.0,Visit Seoul,https://english.visitseoul.net/mvp/family-adventure-3day-2night-temp/ENN2tyvbt,"A 2-Night, 3-Day Adventure Course for Families with Children",walking,"Family,Nature,Culture,Modern Seoul,Shopping",5,success
VS_MVP_002_DAY3,VS_MVP_002,3.0,Visit Seoul,https://english.visitseoul.net/mvp/family-adventure-3day-2night-temp/ENN2tyvbt,"A 2-Night, 3-Day Adventure Course for Families with Children",walking,"Family,Nature,Culture,Modern Seoul,Shopping",4,success
VS_MVP_003_DAY1,VS_MVP_003,1.0,Visit Seoul,https://english.visitseoul.net/mvp/K-FOOD-2Day-1Night/ENNhchcfd,"A 2-Day, 1-Night K-FOOD Pilgrimage Course for Korean Cuisine Enthusiasts",walking,"Food,Traditional,Shopping,Culture,History",6,success
VS_MVP_003_DAY2,VS_MVP_003,2.0,Visit Seoul,https://english.visitseoul.net/mvp/K-FOOD-2Day-1Night/ENNhchcfd,"A 2-Day, 1-Night K-FOOD Pilgrimage Course for Korean Cuisine Enthusiasts",walking,"Food,Traditional,Shopping,Culture,History",6,success
VS_MVP_004,,,Visit Seoul,https://english.visitseoul.net/mvp/E-Sports-1day/ENNnzod7f,A One-Day Seoul Course for E-Sports Enthusiasts,walking,"Modern Seoul,K-POP,Shopping,Culture",6,success
VS_MVP_005_DAY1,VS_MVP_005,1.0,Visit Seoul,https://english.visitseoul.net/mvp/GoldenTour-2Day-1Night/ENN7loklj,"A 2-Day, 1-Night Golden Tour of Seoul Following K-POP Demon Hunters",walking,"K-POP,History,Culture,Traditional,Modern Seoul,Shopping,Walking",6,success
VS_MVP_005_DAY2,VS_MVP_005,2.0,Visit Seoul,https://english.visitseoul.net/mvp/GoldenTour-2Day-1Night/ENN7loklj,"A 2-Day, 1-Night Golden Tour of Seoul Following K-POP Demon Hunters",walking,"K-POP,History,Culture,Traditional,Modern Seoul,Shopping,Walking",6,success
VS_MVP_006,,,Visit Seoul,https://english.visitseoul.net/mvp/Near-the-Airport-1day/ENNoe92s7,A Fulfilling One-Day Course Near the Airport,walking,"Nature,Culture,Modern Seoul,Walking,Healing",6,success
VS_MVP_007,,,Visit Seoul,https://english.visitseoul.net/mvp/K-Art-1day/ENNkx6kcb,Essential Art Tourism Course in Seoul for K-Art Enthusiasts,walking,"Culture,Traditional,Food,Walking",7,success
VS_MVP_008,,,Visit Seoul,https://english.visitseoul.net/mvp/ARTS-IN-SEOUL-1day/ENN0miebh,[ARTS IN SEOUL] Namsan Art Tour,walking,"Culture,Traditional,History,Walking,Modern Seoul",5,success
VS_MVP_009,,,Visit Seoul,https://english.visitseoul.net/mvp/HIGHTEEN-SEOUL/ENN5oi2rb,"Lively Seoul Travel Course, HIGHTEEN SEOUL",walking,"K-POP,Modern Seoul,Shopping,Food",4,success
VS_MVP_010,,,Visit Seoul,https://english.visitseoul.net/mvp/RETRO-SEOUL/ENNgn2cpg,"Retro is Back! Seoul Travel Course, RETRO SEOUL",walking,"Traditional,Shopping,Culture,Walking,Nature",4,success
